Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-SW,65.7306,7.4255,6.4956
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-PACF,73.2097,8.3848,7.1933
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-PLCMF,67.0465,7.6126,6.6742
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-SW,82.9738,4.6425,4.4747
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-PACF,89.8872,5.0338,4.7779
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-PLCMF,79.1162,4.37,4.2194
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-SW,65.4623,5.1385,4.9336
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-PACF,85.4075,7.5398,7.1076
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-PLCMF,65.3049,5.1119,4.9217
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-SW,21.0867,3.0177,2.9811
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-PACF,27.9413,4.2809,4.2034
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-PLCMF,19.5434,2.7405,2.7212
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-SW,43.8798,5.8538,5.7761
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-PACF,44.597,6.2214,6.0664
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-PLCMF,43.2044,5.8034,5.7218
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-SW,71.3881,6.0919,5.7469
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-PACF,75.9729,6.7481,6.3497
Training,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-PLCMF,76.9712,6.7302,6.3229
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-SW,85.9763,9.615,8.045
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-PACF,91.8281,10.6048,8.8548
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-PLCMF,86.8155,9.685,8.0637
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-SW,134.8321,6.1595,5.7055
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-PACF,144.1071,6.7596,6.202
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-PLCMF,146.7125,6.9586,6.3644
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-SW,79.1287,5.2362,4.9406
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-PACF,126.6269,10.5115,9.6725
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-PLCMF,78.7534,5.2161,4.9318
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-SW,26.9432,3.5231,3.4827
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-PACF,29.1233,3.9364,3.8546
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-PLCMF,26.3045,3.5185,3.4628
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-SW,51.0909,6.8437,6.5614
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-PACF,49.9671,6.7007,6.4513
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-PLCMF,49.729,6.6766,6.4029
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 6,GRU-SW,102.7262,7.8233,7.1682
Training,"August 1, 2024 - August 15, 2024",Period_2,Region 6,GRU-PACF,97.4147,7.3108,6.7244
