Periode,Lag,N_Uji,Sig_Tanpa_Koreks,Sig_Setelah_BH,Pct_Dipertahan
PERIOD_1,1,30,27,27,100
PERIOD_1,2,30,28,27,96.4
PERIOD_1,3,30,27,27,100
PERIOD_1,4,30,27,27,100
PERIOD_1,5,30,24,24,100
PERIOD_1,6,30,22,22,100
PERIOD_1,7,30,21,20,95.2
PERIOD_1,8,30,19,19,100
PERIOD_1,9,30,26,25,96.2
PERIOD_1,10,30,24,24,100
PERIOD_1,11,30,20,20,100
PERIOD_1,12,30,22,22,100
PERIOD_1,13,30,22,22,100
PERIOD_1,14,30,23,23,100
PERIOD_1,15,30,25,25,100
PERIOD_1,16,30,22,22,100
PERIOD_2,1,30,20,20,100
PERIOD_2,2,30,25,25,100
PERIOD_2,3,30,22,21,95.5
PERIOD_2,4,30,24,23,95.8
PERIOD_2,5,30,19,19,100
PERIOD_2,6,30,22,22,100
PERIOD_2,7,30,28,28,100
PERIOD_2,8,30,23,23,100
PERIOD_2,9,30,29,28,96.6
PERIOD_2,10,30,20,19,95
PERIOD_2,11,30,20,20,100
PERIOD_2,12,30,15,15,100
PERIOD_2,13,30,22,21,95.5
PERIOD_2,14,30,27,26,96.3
PERIOD_2,15,30,18,16,88.9
PERIOD_2,16,30,26,26,100
PERIOD_3,1,30,27,27,100
PERIOD_3,2,30,28,28,100
PERIOD_3,3,30,26,26,100
PERIOD_3,4,30,25,25,100
PERIOD_3,5,30,24,24,100
PERIOD_3,6,30,25,25,100
PERIOD_3,7,30,23,23,100
PERIOD_3,8,30,19,19,100
PERIOD_3,9,30,26,25,96.2
PERIOD_3,10,30,26,26,100
PERIOD_3,11,30,24,24,100
PERIOD_3,12,30,29,29,100
PERIOD_3,13,30,25,25,100
PERIOD_3,14,30,21,21,100
PERIOD_3,15,30,24,24,100
PERIOD_3,16,30,22,22,100
