Periode,Lag,Effect,Cause,PLCMF_Value,PVal_Raw,PVal_BH_Adj,Sig_Raw,Sig_BH
PERIOD_1,1,region_1,region_2,0.251097,0,0,TRUE,TRUE
PERIOD_1,1,region_1,region_3,-0.017681,0.025026,0.033093,TRUE,TRUE
PERIOD_1,1,region_1,region_4,-0.195051,0,0,TRUE,TRUE
PERIOD_1,1,region_1,region_5,-0.036268,4e-06,8e-06,TRUE,TRUE
PERIOD_1,1,region_1,region_6,0.176389,0,0,TRUE,TRUE
PERIOD_1,1,region_2,region_1,-0.029419,0.000193,0.000313,TRUE,TRUE
PERIOD_1,1,region_2,region_3,0.071758,0,0,TRUE,TRUE
PERIOD_1,1,region_2,region_4,-0.333283,0,0,TRUE,TRUE
PERIOD_1,1,region_2,region_5,-0.054034,0,0,TRUE,TRUE
PERIOD_1,1,region_2,region_6,0.389783,0,0,TRUE,TRUE
PERIOD_1,1,region_3,region_1,0.126285,0,0,TRUE,TRUE
PERIOD_1,1,region_3,region_2,-0.158865,0,0,TRUE,TRUE
PERIOD_1,1,region_3,region_4,0.225963,0,0,TRUE,TRUE
PERIOD_1,1,region_3,region_5,0.003195,0.68551,0.72159,FALSE,FALSE
PERIOD_1,1,region_3,region_6,-0.011774,0.135623,0.159166,FALSE,FALSE
PERIOD_1,1,region_4,region_1,-0.137549,0,0,TRUE,TRUE
PERIOD_1,1,region_4,region_2,0.309727,0,0,TRUE,TRUE
PERIOD_1,1,region_4,region_3,-0.135843,0,0,TRUE,TRUE
PERIOD_1,1,region_4,region_5,-0.052307,0,0,TRUE,TRUE
PERIOD_1,1,region_4,region_6,0.118719,0,0,TRUE,TRUE
PERIOD_1,1,region_5,region_1,-0.083074,0,0,TRUE,TRUE
PERIOD_1,1,region_5,region_2,0.227409,0,0,TRUE,TRUE
PERIOD_1,1,region_5,region_3,-0.073203,0,0,TRUE,TRUE
PERIOD_1,1,region_5,region_4,-0.107332,0,0,TRUE,TRUE
PERIOD_1,1,region_5,region_6,0.080124,0,0,TRUE,TRUE
PERIOD_1,1,region_6,region_1,0.149419,0,0,TRUE,TRUE
PERIOD_1,1,region_6,region_2,-0.17703,0,0,TRUE,TRUE
PERIOD_1,1,region_6,region_3,-0.071618,0,0,TRUE,TRUE
PERIOD_1,1,region_6,region_4,0.068999,0,0,TRUE,TRUE
PERIOD_1,1,region_6,region_5,-0.013071,0.097589,0.11829,FALSE,FALSE
PERIOD_1,2,region_1,region_2,-0.090561,0,0,TRUE,TRUE
PERIOD_1,2,region_1,region_3,0.103768,0,0,TRUE,TRUE
PERIOD_1,2,region_1,region_4,-0.136289,0,0,TRUE,TRUE
PERIOD_1,2,region_1,region_5,-0.012075,0.125914,0.148864,FALSE,FALSE
PERIOD_1,2,region_1,region_6,-0.113225,0,0,TRUE,TRUE
PERIOD_1,2,region_2,region_1,-0.017568,0.025972,0.034134,TRUE,TRUE
PERIOD_1,2,region_2,region_3,0.223227,0,0,TRUE,TRUE
PERIOD_1,2,region_2,region_4,-0.168794,0,0,TRUE,TRUE
PERIOD_1,2,region_2,region_5,0.040191,0,1e-06,TRUE,TRUE
PERIOD_1,2,region_2,region_6,-0.220157,0,0,TRUE,TRUE
PERIOD_1,2,region_3,region_1,0.034403,1.3e-05,2.3e-05,TRUE,TRUE
PERIOD_1,2,region_3,region_2,0.153653,0,0,TRUE,TRUE
PERIOD_1,2,region_3,region_4,-0.191696,0,0,TRUE,TRUE
PERIOD_1,2,region_3,region_5,0.022279,0.004746,0.006874,TRUE,TRUE
PERIOD_1,2,region_3,region_6,-0.272436,0,0,TRUE,TRUE
PERIOD_1,2,region_4,region_1,0.027538,0.000483,0.000757,TRUE,TRUE
PERIOD_1,2,region_4,region_2,-0.031201,7.7e-05,0.000128,TRUE,TRUE
PERIOD_1,2,region_4,region_3,0.01446,0.066851,0.083346,FALSE,FALSE
PERIOD_1,2,region_4,region_5,-0.033149,2.7e-05,4.5e-05,TRUE,TRUE
PERIOD_1,2,region_4,region_6,-0.217227,0,0,TRUE,TRUE
PERIOD_1,2,region_5,region_1,-0.015689,0.046755,0.059371,TRUE,FALSE
PERIOD_1,2,region_5,region_2,-0.076141,0,0,TRUE,TRUE
PERIOD_1,2,region_5,region_3,0.048632,0,0,TRUE,TRUE
