"Periode","Lag","Effect","Cause","PLCMF_Value","PVal_Raw","PVal_BH_Adj","Sig_Raw","Sig_BH"
"PERIOD_3",1,"region_1","region_2",0.426964,0,0,TRUE,TRUE
"PERIOD_3",1,"region_1","region_3",-0.236055,0,0,TRUE,TRUE
"PERIOD_3",1,"region_1","region_4",-0.097103,0,0,TRUE,TRUE
"PERIOD_3",1,"region_1","region_5",-0.019773,0.012208,0.01571,TRUE,TRUE
"PERIOD_3",1,"region_1","region_6",-0.259341,0,0,TRUE,TRUE
"PERIOD_3",1,"region_2","region_1",0.202603,0,0,TRUE,TRUE
"PERIOD_3",1,"region_2","region_3",0.246026,0,0,TRUE,TRUE
"PERIOD_3",1,"region_2","region_4",-0.217084,0,0,TRUE,TRUE
"PERIOD_3",1,"region_2","region_5",0.013389,0.08971,0.106061,FALSE,FALSE
"PERIOD_3",1,"region_2","region_6",0.203455,0,0,TRUE,TRUE
"PERIOD_3",1,"region_3","region_1",0.255387,0,0,TRUE,TRUE
"PERIOD_3",1,"region_3","region_2",-0.353518,0,0,TRUE,TRUE
"PERIOD_3",1,"region_3","region_4",-0.305914,0,0,TRUE,TRUE
"PERIOD_3",1,"region_3","region_5",0.016292,0.038932,0.047551,TRUE,TRUE
"PERIOD_3",1,"region_3","region_6",0.147003,0,0,TRUE,TRUE
"PERIOD_3",1,"region_4","region_1",0.026665,0.000726,0.001004,TRUE,TRUE
"PERIOD_3",1,"region_4","region_2",-0.456277,0,0,TRUE,TRUE
"PERIOD_3",1,"region_4","region_3",0.542749,0,0,TRUE,TRUE
"PERIOD_3",1,"region_4","region_5",-0.005716,0.468764,0.500015,FALSE,FALSE
"PERIOD_3",1,"region_4","region_6",0.65251,0,0,TRUE,TRUE
"PERIOD_3",1,"region_5","region_1",0.074515,0,0,TRUE,TRUE
"PERIOD_3",1,"region_5","region_2",-0.193482,0,0,TRUE,TRUE
"PERIOD_3",1,"region_5","region_3",0.280818,0,0,TRUE,TRUE
"PERIOD_3",1,"region_5","region_4",-0.314194,0,0,TRUE,TRUE
"PERIOD_3",1,"region_5","region_6",0.204338,0,0,TRUE,TRUE
"PERIOD_3",1,"region_6","region_1",0.235961,0,0,TRUE,TRUE
"PERIOD_3",1,"region_6","region_2",-0.304629,0,0,TRUE,TRUE
"PERIOD_3",1,"region_6","region_3",0.288962,0,0,TRUE,TRUE
"PERIOD_3",1,"region_6","region_4",-0.342299,0,0,TRUE,TRUE
"PERIOD_3",1,"region_6","region_5",0.005474,0.48783,0.519199,FALSE,FALSE
"PERIOD_3",2,"region_1","region_2",0.071783,0,0,TRUE,TRUE
"PERIOD_3",2,"region_1","region_3",0.024092,0.002262,0.003075,TRUE,TRUE
"PERIOD_3",2,"region_1","region_4",0.166789,0,0,TRUE,TRUE
"PERIOD_3",2,"region_1","region_5",-0.002396,0.761368,0.78089,FALSE,FALSE
"PERIOD_3",2,"region_1","region_6",0.081217,0,0,TRUE,TRUE
"PERIOD_3",2,"region_2","region_1",0.128619,0,0,TRUE,TRUE
"PERIOD_3",2,"region_2","region_3",0.077336,0,0,TRUE,TRUE
"PERIOD_3",2,"region_2","region_4",-0.273463,0,0,TRUE,TRUE
"PERIOD_3",2,"region_2","region_5",-0.054289,0,0,TRUE,TRUE
"PERIOD_3",2,"region_2","region_6",-0.086581,0,0,TRUE,TRUE
"PERIOD_3",2,"region_3","region_1",0.121968,0,0,TRUE,TRUE
"PERIOD_3",2,"region_3","region_2",0.059338,0,0,TRUE,TRUE
"PERIOD_3",2,"region_3","region_4",-0.33817,0,0,TRUE,TRUE
"PERIOD_3",2,"region_3","region_5",-0.077709,0,0,TRUE,TRUE
"PERIOD_3",2,"region_3","region_6",-0.051667,0,0,TRUE,TRUE
"PERIOD_3",2,"region_4","region_1",0.205103,0,0,TRUE,TRUE
"PERIOD_3",2,"region_4","region_2",0.213692,0,0,TRUE,TRUE
"PERIOD_3",2,"region_4","region_3",0.061618,0,0,TRUE,TRUE
"PERIOD_3",2,"region_4","region_5",-0.044284,0,0,TRUE,TRUE
"PERIOD_3",2,"region_4","region_6",-0.248502,0,0,TRUE,TRUE
"PERIOD_3",2,"region_5","region_1",0.050903,0,0,TRUE,TRUE
"PERIOD_3",2,"region_5","region_2",0.062736,0,0,TRUE,TRUE
"PERIOD_3",2,"region_5","region_3",-0.049374,0,0,TRUE,TRUE
"PERIOD_3",2,"region_5","region_4",-0.310446,0,0,TRUE,TRUE
"PERIOD_3",2,"region_5","region_6",-0.030204,0.000129,0.00019,TRUE,TRUE
"PERIOD_3",2,"region_6","region_1",0.142268,0,0,TRUE,TRUE
"PERIOD_3",2,"region_6","region_2",0.041716,0,0,TRUE,TRUE
"PERIOD_3",2,"region_6","region_3",0.002378,0.763117,0.781016,FALSE,FALSE
"PERIOD_3",2,"region_6","region_4",-0.245679,0,0,TRUE,TRUE
"PERIOD_3",2,"region_6","region_5",-0.048321,0,0,TRUE,TRUE
"PERIOD_3",3,"region_1","region_2",-0.009643,0.221618,0.249125,FALSE,FALSE
"PERIOD_3",3,"region_1","region_3",0.022922,0.00367,0.004893,TRUE,TRUE
"PERIOD_3",3,"region_1","region_4",0.113031,0,0,TRUE,TRUE
"PERIOD_3",3,"region_1","region_5",0.022047,0.005202,0.00686,TRUE,TRUE
"PERIOD_3",3,"region_1","region_6",-0.002571,0.744484,0.765208,FALSE,FALSE
"PERIOD_3",3,"region_2","region_1",0.207425,0,0,TRUE,TRUE
"PERIOD_3",3,"region_2","region_3",-0.01783,0.023828,0.02986,TRUE,TRUE
"PERIOD_3",3,"region_2","region_4",0.052706,0,0,TRUE,TRUE
"PERIOD_3",3,"region_2","region_5",0.042508,0,0,TRUE,TRUE
"PERIOD_3",3,"region_2","region_6",-0.29637,0,0,TRUE,TRUE
"PERIOD_3",3,"region_3","region_1",0.200992,0,0,TRUE,TRUE
"PERIOD_3",3,"region_3","region_2",0.003333,0.672703,0.698912,FALSE,FALSE
"PERIOD_3",3,"region_3","region_4",0.052817,0,0,TRUE,TRUE
"PERIOD_3",3,"region_3","region_5",0.037518,2e-06,3e-06,TRUE,TRUE
"PERIOD_3",3,"region_3","region_6",-0.246333,0,0,TRUE,TRUE
"PERIOD_3",3,"region_4","region_1",0.250656,0,0,TRUE,TRUE
"PERIOD_3",3,"region_4","region_2",0.161819,0,0,TRUE,TRUE
"PERIOD_3",3,"region_4","region_3",-0.276616,0,0,TRUE,TRUE
"PERIOD_3",3,"region_4","region_5",0.033197,2.6e-05,3.9e-05,TRUE,TRUE
"PERIOD_3",3,"region_4","region_6",-0.614558,0,0,TRUE,TRUE
"PERIOD_3",3,"region_5","region_1",0.117622,0,0,TRUE,TRUE
"PERIOD_3",3,"region_5","region_2",0.044074,0,0,TRUE,TRUE
"PERIOD_3",3,"region_5","region_3",-0.104268,0,0,TRUE,TRUE
"PERIOD_3",3,"region_5","region_4",0.073379,0,0,TRUE,TRUE
"PERIOD_3",3,"region_5","region_6",-0.225846,0,0,TRUE,TRUE
"PERIOD_3",3,"region_6","region_1",0.215665,0,0,TRUE,TRUE
"PERIOD_3",3,"region_6","region_2",-0.013087,0.097179,0.114328,FALSE,FALSE
"PERIOD_3",3,"region_6","region_3",-0.021123,0.007424,0.009763,TRUE,TRUE
"PERIOD_3",3,"region_6","region_4",0.044486,0,0,TRUE,TRUE
"PERIOD_3",3,"region_6","region_5",0.050716,0,0,TRUE,TRUE
"PERIOD_3",4,"region_1","region_2",-0.017741,0.02454,0.030516,TRUE,TRUE
"PERIOD_3",4,"region_1","region_3",0.049951,0,0,TRUE,TRUE
"PERIOD_3",4,"region_1","region_4",0.037236,2e-06,4e-06,TRUE,TRUE
"PERIOD_3",4,"region_1","region_5",0.005364,0.496597,0.527359,FALSE,FALSE
"PERIOD_3",4,"region_1","region_6",0.073096,0,0,TRUE,TRUE
"PERIOD_3",4,"region_2","region_1",0.223032,0,0,TRUE,TRUE
"PERIOD_3",4,"region_2","region_3",0.087869,0,0,TRUE,TRUE
"PERIOD_3",4,"region_2","region_4",0.057094,0,0,TRUE,TRUE
"PERIOD_3",4,"region_2","region_5",0.04601,0,0,TRUE,TRUE
"PERIOD_3",4,"region_2","region_6",-0.235595,0,0,TRUE,TRUE
"PERIOD_3",4,"region_3","region_1",0.249908,0,0,TRUE,TRUE
"PERIOD_3",4,"region_3","region_2",-0.018829,0.017012,0.021603,TRUE,TRUE
"PERIOD_3",4,"region_3","region_4",0.069003,0,0,TRUE,TRUE
"PERIOD_3",4,"region_3","region_5",0.05078,0,0,TRUE,TRUE
"PERIOD_3",4,"region_3","region_6",-0.239302,0,0,TRUE,TRUE
"PERIOD_3",4,"region_4","region_1",0.208128,0,0,TRUE,TRUE
"PERIOD_3",4,"region_4","region_2",-0.034369,1.3e-05,2.1e-05,TRUE,TRUE
"PERIOD_3",4,"region_4","region_3",-0.011802,0.134696,0.157309,FALSE,FALSE
"PERIOD_3",4,"region_4","region_5",0.014683,0.062742,0.075668,FALSE,FALSE
"PERIOD_3",4,"region_4","region_6",-0.305328,0,0,TRUE,TRUE
"PERIOD_3",4,"region_5","region_1",0.111683,0,0,TRUE,TRUE
"PERIOD_3",4,"region_5","region_2",-0.011516,0.144412,0.167434,FALSE,FALSE
"PERIOD_3",4,"region_5","region_3",0.007626,0.333791,0.361669,FALSE,FALSE
"PERIOD_3",4,"region_5","region_4",0.050784,0,0,TRUE,TRUE
"PERIOD_3",4,"region_5","region_6",-0.133391,0,0,TRUE,TRUE
"PERIOD_3",4,"region_6","region_1",0.260575,0,0,TRUE,TRUE
"PERIOD_3",4,"region_6","region_2",-0.031864,5.4e-05,8.1e-05,TRUE,TRUE
"PERIOD_3",4,"region_6","region_3",0.08965,0,0,TRUE,TRUE
"PERIOD_3",4,"region_6","region_4",0.043767,0,0,TRUE,TRUE
"PERIOD_3",4,"region_6","region_5",0.04268,0,0,TRUE,TRUE
"PERIOD_3",5,"region_1","region_2",0.01365,0.083625,0.099356,FALSE,FALSE
"PERIOD_3",5,"region_1","region_3",0.039159,1e-06,1e-06,TRUE,TRUE
"PERIOD_3",5,"region_1","region_4",0.018128,0.021581,0.027189,TRUE,TRUE
"PERIOD_3",5,"region_1","region_5",0.009835,0.212594,0.239542,FALSE,FALSE
"PERIOD_3",5,"region_1","region_6",-0.008621,0.27456,0.302268,FALSE,FALSE
"PERIOD_3",5,"region_2","region_1",-0.181247,0,0,TRUE,TRUE
"PERIOD_3",5,"region_2","region_3",-0.106944,0,0,TRUE,TRUE
"PERIOD_3",5,"region_2","region_4",-0.007471,0.343669,0.370699,FALSE,FALSE
"PERIOD_3",5,"region_2","region_5",-0.05819,0,0,TRUE,TRUE
"PERIOD_3",5,"region_2","region_6",0.061325,0,0,TRUE,TRUE
"PERIOD_3",5,"region_3","region_1",-0.266109,0,0,TRUE,TRUE
"PERIOD_3",5,"region_3","region_2",0.222895,0,0,TRUE,TRUE
"PERIOD_3",5,"region_3","region_4",0.007897,0.316851,0.344872,FALSE,FALSE
"PERIOD_3",5,"region_3","region_5",-0.068243,0,0,TRUE,TRUE
"PERIOD_3",5,"region_3","region_6",0.129711,0,0,TRUE,TRUE
"PERIOD_3",5,"region_4","region_1",-0.029431,0.000191,0.000278,TRUE,TRUE
"PERIOD_3",5,"region_4","region_2",0.027259,0.000551,0.000768,TRUE,TRUE
"PERIOD_3",5,"region_4","region_3",-0.035445,7e-06,1.1e-05,TRUE,TRUE
"PERIOD_3",5,"region_4","region_5",-0.005759,0.465426,0.49756,FALSE,FALSE
"PERIOD_3",5,"region_4","region_6",0.045744,0,0,TRUE,TRUE
"PERIOD_3",5,"region_5","region_1",-0.064953,0,0,TRUE,TRUE
"PERIOD_3",5,"region_5","region_2",0.061387,0,0,TRUE,TRUE
"PERIOD_3",5,"region_5","region_3",-0.050068,0,0,TRUE,TRUE
"PERIOD_3",5,"region_5","region_4",-0.019177,0.015076,0.019298,TRUE,TRUE
"PERIOD_3",5,"region_5","region_6",0.034345,1.3e-05,2.1e-05,TRUE,TRUE
"PERIOD_3",5,"region_6","region_1",-0.240621,0,0,TRUE,TRUE
"PERIOD_3",5,"region_6","region_2",0.211692,0,0,TRUE,TRUE
"PERIOD_3",5,"region_6","region_3",-0.161908,0,0,TRUE,TRUE
"PERIOD_3",5,"region_6","region_4",-0.028735,0.000271,0.000388,TRUE,TRUE
"PERIOD_3",5,"region_6","region_5",-0.074998,0,0,TRUE,TRUE
"PERIOD_3",6,"region_1","region_2",0.032936,3e-05,4.5e-05,TRUE,TRUE
"PERIOD_3",6,"region_1","region_3",0.017155,0.029687,0.036726,TRUE,TRUE
"PERIOD_3",6,"region_1","region_4",0.073783,0,0,TRUE,TRUE
"PERIOD_3",6,"region_1","region_5",0.000218,0.977985,0.977985,FALSE,FALSE
"PERIOD_3",6,"region_1","region_6",-0.01904,0.015815,0.020189,TRUE,TRUE
"PERIOD_3",6,"region_2","region_1",0.010332,0.190375,0.21654,FALSE,FALSE
"PERIOD_3",6,"region_2","region_3",-0.070027,0,0,TRUE,TRUE
"PERIOD_3",6,"region_2","region_4",-0.069911,0,0,TRUE,TRUE
"PERIOD_3",6,"region_2","region_5",-0.062751,0,0,TRUE,TRUE
"PERIOD_3",6,"region_2","region_6",0.023333,0.003104,0.004173,TRUE,TRUE
"PERIOD_3",6,"region_3","region_1",-0.04815,0,0,TRUE,TRUE
"PERIOD_3",6,"region_3","region_2",0.170436,0,0,TRUE,TRUE
"PERIOD_3",6,"region_3","region_4",-0.053923,0,0,TRUE,TRUE
"PERIOD_3",6,"region_3","region_5",-0.0723,0,0,TRUE,TRUE
"PERIOD_3",6,"region_3","region_6",0.067829,0,0,TRUE,TRUE
"PERIOD_3",6,"region_4","region_1",0.039947,0,1e-06,TRUE,TRUE
"PERIOD_3",6,"region_4","region_2",0.040065,0,1e-06,TRUE,TRUE
"PERIOD_3",6,"region_4","region_3",-0.005021,0.524509,0.555738,FALSE,FALSE
"PERIOD_3",6,"region_4","region_5",-0.027844,0.000417,0.00059,TRUE,TRUE
"PERIOD_3",6,"region_4","region_6",0.077068,0,0,TRUE,TRUE
"PERIOD_3",6,"region_5","region_1",0.013295,0.091971,0.108467,FALSE,FALSE
"PERIOD_3",6,"region_5","region_2",0.054268,0,0,TRUE,TRUE
"PERIOD_3",6,"region_5","region_3",-0.017816,0.023938,0.02986,TRUE,TRUE
"PERIOD_3",6,"region_5","region_4",-0.053943,0,0,TRUE,TRUE
"PERIOD_3",6,"region_5","region_6",0.00171,0.828392,0.840652,FALSE,FALSE
"PERIOD_3",6,"region_6","region_1",-0.035194,8e-06,1.3e-05,TRUE,TRUE
"PERIOD_3",6,"region_6","region_2",0.151302,0,0,TRUE,TRUE
"PERIOD_3",6,"region_6","region_3",-0.093069,0,0,TRUE,TRUE
"PERIOD_3",6,"region_6","region_4",-0.073362,0,0,TRUE,TRUE
"PERIOD_3",6,"region_6","region_5",-0.064732,0,0,TRUE,TRUE
"PERIOD_3",7,"region_1","region_2",0.00886,0.26144,0.28915,FALSE,FALSE
"PERIOD_3",7,"region_1","region_3",0.077461,0,0,TRUE,TRUE
"PERIOD_3",7,"region_1","region_4",0.043885,0,0,TRUE,TRUE
"PERIOD_3",7,"region_1","region_5",0.017815,0.023951,0.02986,TRUE,TRUE
"PERIOD_3",7,"region_1","region_6",-0.061642,0,0,TRUE,TRUE
"PERIOD_3",7,"region_2","region_1",-0.117375,0,0,TRUE,TRUE
