Periode,Effect,Cause,Lag_pstar_AIC,Granger_PValue,Sig_Granger
PERIOD_1,region_1,region_2,10,0,TRUE
PERIOD_1,region_1,region_3,10,0,TRUE
PERIOD_1,region_1,region_4,10,0,TRUE
PERIOD_1,region_1,region_5,10,0,TRUE
PERIOD_1,region_1,region_6,10,0,TRUE
PERIOD_1,region_2,region_1,10,0,TRUE
PERIOD_1,region_2,region_3,10,0,TRUE
PERIOD_1,region_2,region_4,10,0,TRUE
PERIOD_1,region_2,region_5,10,0,TRUE
PERIOD_1,region_2,region_6,10,0,TRUE
PERIOD_1,region_3,region_1,10,0,TRUE
PERIOD_1,region_3,region_2,10,0,TRUE
PERIOD_1,region_3,region_4,10,0,TRUE
PERIOD_1,region_3,region_5,10,0,TRUE
PERIOD_1,region_3,region_6,10,0,TRUE
PERIOD_1,region_4,region_1,10,0,TRUE
PERIOD_1,region_4,region_2,10,0,TRUE
PERIOD_1,region_4,region_3,10,0,TRUE
PERIOD_1,region_4,region_5,10,0,TRUE
PERIOD_1,region_4,region_6,10,0,TRUE
PERIOD_1,region_5,region_1,10,0,TRUE
PERIOD_1,region_5,region_2,10,0,TRUE
PERIOD_1,region_5,region_3,10,0,TRUE
PERIOD_1,region_5,region_4,10,0,TRUE
PERIOD_1,region_5,region_6,10,0,TRUE
PERIOD_1,region_6,region_1,10,0,TRUE
PERIOD_1,region_6,region_2,10,0,TRUE
PERIOD_1,region_6,region_3,10,0,TRUE
PERIOD_1,region_6,region_4,10,0,TRUE
PERIOD_1,region_6,region_5,10,0,TRUE
