"Periode","Effect","Cause","Granger_PValue","Sig_Granger"
"PERIOD_3","region_1","region_2",0,TRUE
"PERIOD_3","region_1","region_3",0,TRUE
"PERIOD_3","region_1","region_4",0,TRUE
"PERIOD_3","region_1","region_5",0,TRUE
"PERIOD_3","region_1","region_6",0,TRUE
"PERIOD_3","region_2","region_1",0,TRUE
"PERIOD_3","region_2","region_3",0,TRUE
"PERIOD_3","region_2","region_4",0,TRUE
"PERIOD_3","region_2","region_5",0,TRUE
"PERIOD_3","region_2","region_6",0,TRUE
"PERIOD_3","region_3","region_1",0,TRUE
"PERIOD_3","region_3","region_2",0,TRUE
"PERIOD_3","region_3","region_4",0,TRUE
"PERIOD_3","region_3","region_5",0,TRUE
"PERIOD_3","region_3","region_6",0,TRUE
"PERIOD_3","region_4","region_1",0,TRUE
"PERIOD_3","region_4","region_2",0,TRUE
"PERIOD_3","region_4","region_3",0,TRUE
"PERIOD_3","region_4","region_5",0,TRUE
"PERIOD_3","region_4","region_6",0,TRUE
"PERIOD_3","region_5","region_1",0,TRUE
"PERIOD_3","region_5","region_2",0,TRUE
"PERIOD_3","region_5","region_3",0,TRUE
"PERIOD_3","region_5","region_4",0,TRUE
"PERIOD_3","region_5","region_6",0,TRUE
"PERIOD_3","region_6","region_1",0,TRUE
"PERIOD_3","region_6","region_2",0,TRUE
"PERIOD_3","region_6","region_3",0,TRUE
"PERIOD_3","region_6","region_4",0,TRUE
"PERIOD_3","region_6","region_5",0,TRUE
