"Periode","Lag","Effect","Cause","PLCMF_Value","Sig_PLCMF","Bound"
"PERIOD_2",1,"region_1","region_1",3.162464,TRUE,0.015464
"PERIOD_2",1,"region_1","region_2",0.05234,TRUE,0.015464
"PERIOD_2",1,"region_1","region_3",-0.019478,TRUE,0.015464
"PERIOD_2",1,"region_1","region_4",-0.010452,FALSE,0.015464
"PERIOD_2",1,"region_1","region_5",-0.018148,TRUE,0.015464
"PERIOD_2",1,"region_1","region_6",0.070968,TRUE,0.015464
"PERIOD_2",1,"region_2","region_1",0.092337,TRUE,0.015464
"PERIOD_2",1,"region_2","region_2",3.20144,TRUE,0.015464
"PERIOD_2",1,"region_2","region_3",0.04635,TRUE,0.015464
"PERIOD_2",1,"region_2","region_4",-0.040651,TRUE,0.015464
"PERIOD_2",1,"region_2","region_5",0.001954,FALSE,0.015464
"PERIOD_2",1,"region_2","region_6",0.008291,FALSE,0.015464
"PERIOD_2",1,"region_3","region_1",-0.043118,TRUE,0.015464
"PERIOD_2",1,"region_3","region_2",0.051986,TRUE,0.015464
"PERIOD_2",1,"region_3","region_3",3.298161,TRUE,0.015464
"PERIOD_2",1,"region_3","region_4",0.019223,TRUE,0.015464
"PERIOD_2",1,"region_3","region_5",0.002053,FALSE,0.015464
"PERIOD_2",1,"region_3","region_6",0.061412,TRUE,0.015464
"PERIOD_2",1,"region_4","region_1",-0.011678,FALSE,0.015464
"PERIOD_2",1,"region_4","region_2",0.115482,TRUE,0.015464
"PERIOD_2",1,"region_4","region_3",0.016922,TRUE,0.015464
"PERIOD_2",1,"region_4","region_4",2.213854,TRUE,0.015464
"PERIOD_2",1,"region_4","region_5",-0.013046,FALSE,0.015464
"PERIOD_2",1,"region_4","region_6",0.082503,TRUE,0.015464
"PERIOD_2",1,"region_5","region_1",-0.002553,FALSE,0.015464
"PERIOD_2",1,"region_5","region_2",0.040828,TRUE,0.015464
"PERIOD_2",1,"region_5","region_3",0.034933,TRUE,0.015464
"PERIOD_2",1,"region_5","region_4",-0.035583,TRUE,0.015464
"PERIOD_2",1,"region_5","region_5",3.168339,TRUE,0.015464
"PERIOD_2",1,"region_5","region_6",-0.011388,FALSE,0.015464
"PERIOD_2",1,"region_6","region_1",-0.018671,TRUE,0.015464
"PERIOD_2",1,"region_6","region_2",0.116888,TRUE,0.015464
"PERIOD_2",1,"region_6","region_3",0.007256,FALSE,0.015464
"PERIOD_2",1,"region_6","region_4",0.002386,FALSE,0.015464
"PERIOD_2",1,"region_6","region_5",-0.016932,TRUE,0.015464
"PERIOD_2",1,"region_6","region_6",3.366053,TRUE,0.015464
"PERIOD_2",2,"region_1","region_1",0.006023,FALSE,0.015464
"PERIOD_2",2,"region_1","region_2",0.119494,TRUE,0.015464
"PERIOD_2",2,"region_1","region_3",0.020174,TRUE,0.015464
"PERIOD_2",2,"region_1","region_4",-0.115808,TRUE,0.015464
"PERIOD_2",2,"region_1","region_5",-0.004832,FALSE,0.015464
"PERIOD_2",2,"region_1","region_6",-0.181191,TRUE,0.015464
"PERIOD_2",2,"region_2","region_1",-0.150052,TRUE,0.015464
"PERIOD_2",2,"region_2","region_2",-0.033482,TRUE,0.015464
"PERIOD_2",2,"region_2","region_3",0.076053,TRUE,0.015464
"PERIOD_2",2,"region_2","region_4",-0.133878,TRUE,0.015464
"PERIOD_2",2,"region_2","region_5",-0.008,FALSE,0.015464
"PERIOD_2",2,"region_2","region_6",0.025882,TRUE,0.015464
"PERIOD_2",2,"region_3","region_1",-0.099327,TRUE,0.015464
"PERIOD_2",2,"region_3","region_2",0.076893,TRUE,0.015464
"PERIOD_2",2,"region_3","region_3",0.176804,TRUE,0.015464
"PERIOD_2",2,"region_3","region_4",-0.168664,TRUE,0.015464
"PERIOD_2",2,"region_3","region_5",-0.040029,TRUE,0.015464
"PERIOD_2",2,"region_3","region_6",-0.13922,TRUE,0.015464
"PERIOD_2",2,"region_4","region_1",-0.099357,TRUE,0.015464
"PERIOD_2",2,"region_4","region_2",0.01945,TRUE,0.015464
"PERIOD_2",2,"region_4","region_3",0.065761,TRUE,0.015464
"PERIOD_2",2,"region_4","region_4",-0.054833,TRUE,0.015464
"PERIOD_2",2,"region_4","region_5",0.003801,FALSE,0.015464
"PERIOD_2",2,"region_4","region_6",-0.051401,TRUE,0.015464
"PERIOD_2",2,"region_5","region_1",-0.089033,TRUE,0.015464
"PERIOD_2",2,"region_5","region_2",0.017922,TRUE,0.015464
"PERIOD_2",2,"region_5","region_3",-0.014045,FALSE,0.015464
"PERIOD_2",2,"region_5","region_4",-0.142251,TRUE,0.015464
"PERIOD_2",2,"region_5","region_5",0.16105,TRUE,0.015464
"PERIOD_2",2,"region_5","region_6",-0.080811,TRUE,0.015464
"PERIOD_2",2,"region_6","region_1",-0.097873,TRUE,0.015464
"PERIOD_2",2,"region_6","region_2",0.044238,TRUE,0.015464
"PERIOD_2",2,"region_6","region_3",0.061226,TRUE,0.015464
"PERIOD_2",2,"region_6","region_4",-0.154227,TRUE,0.015464
"PERIOD_2",2,"region_6","region_5",0.012518,FALSE,0.015464
"PERIOD_2",2,"region_6","region_6",-0.040934,TRUE,0.015464
"PERIOD_2",3,"region_1","region_1",0.042509,TRUE,0.015464
"PERIOD_2",3,"region_1","region_2",0.095805,TRUE,0.015464
"PERIOD_2",3,"region_1","region_3",0.046178,TRUE,0.015464
"PERIOD_2",3,"region_1","region_4",-0.046766,TRUE,0.015464
"PERIOD_2",3,"region_1","region_5",0.032576,TRUE,0.015464
"PERIOD_2",3,"region_1","region_6",-0.122329,TRUE,0.015464
"PERIOD_2",3,"region_2","region_1",-0.050994,TRUE,0.015464
"PERIOD_2",3,"region_2","region_2",-0.085557,TRUE,0.015464
"PERIOD_2",3,"region_2","region_3",0.098073,TRUE,0.015464
"PERIOD_2",3,"region_2","region_4",-0.024215,TRUE,0.015464
"PERIOD_2",3,"region_2","region_5",-0.010384,FALSE,0.015464
"PERIOD_2",3,"region_2","region_6",0.089826,TRUE,0.015464
"PERIOD_2",3,"region_3","region_1",-0.009246,FALSE,0.015464
"PERIOD_2",3,"region_3","region_2",0.025396,TRUE,0.015464
"PERIOD_2",3,"region_3","region_3",0.071199,TRUE,0.015464
"PERIOD_2",3,"region_3","region_4",-0.026465,TRUE,0.015464
"PERIOD_2",3,"region_3","region_5",0.023089,TRUE,0.015464
"PERIOD_2",3,"region_3","region_6",-0.053761,TRUE,0.015464
"PERIOD_2",3,"region_4","region_1",-0.011606,FALSE,0.015464
"PERIOD_2",3,"region_4","region_2",-0.002354,FALSE,0.015464
"PERIOD_2",3,"region_4","region_3",0.063563,TRUE,0.015464
"PERIOD_2",3,"region_4","region_4",0.037705,TRUE,0.015464
"PERIOD_2",3,"region_4","region_5",0.032499,TRUE,0.015464
"PERIOD_2",3,"region_4","region_6",-0.002781,FALSE,0.015464
"PERIOD_2",3,"region_5","region_1",0.014202,FALSE,0.015464
"PERIOD_2",3,"region_5","region_2",0.016276,TRUE,0.015464
"PERIOD_2",3,"region_5","region_3",0.057367,TRUE,0.015464
"PERIOD_2",3,"region_5","region_4",-0.045751,TRUE,0.015464
"PERIOD_2",3,"region_5","region_5",0.037911,TRUE,0.015464
"PERIOD_2",3,"region_5","region_6",-0.034178,TRUE,0.015464
"PERIOD_2",3,"region_6","region_1",-0.028767,TRUE,0.015464
"PERIOD_2",3,"region_6","region_2",-0.005337,FALSE,0.015464
"PERIOD_2",3,"region_6","region_3",0.051604,TRUE,0.015464
"PERIOD_2",3,"region_6","region_4",-0.018848,TRUE,0.015464
"PERIOD_2",3,"region_6","region_5",-0.003789,FALSE,0.015464
"PERIOD_2",3,"region_6","region_6",0.061758,TRUE,0.015464
"PERIOD_2",4,"region_1","region_1",0.026588,TRUE,0.015464
"PERIOD_2",4,"region_1","region_2",0.066675,TRUE,0.015464
"PERIOD_2",4,"region_1","region_3",0.043384,TRUE,0.015464
"PERIOD_2",4,"region_1","region_4",0.009365,FALSE,0.015464
"PERIOD_2",4,"region_1","region_5",0.049177,TRUE,0.015464
"PERIOD_2",4,"region_1","region_6",-0.081934,TRUE,0.015464
"PERIOD_2",4,"region_2","region_1",-0.07802,TRUE,0.015464
"PERIOD_2",4,"region_2","region_2",0.061068,TRUE,0.015464
"PERIOD_2",4,"region_2","region_3",0.030517,TRUE,0.015464
"PERIOD_2",4,"region_2","region_4",0.032941,TRUE,0.015464
"PERIOD_2",4,"region_2","region_5",0.013094,FALSE,0.015464
"PERIOD_2",4,"region_2","region_6",0.031021,TRUE,0.015464
"PERIOD_2",4,"region_3","region_1",-0.035429,TRUE,0.015464
"PERIOD_2",4,"region_3","region_2",0.067712,TRUE,0.015464
"PERIOD_2",4,"region_3","region_3",0.048992,TRUE,0.015464
"PERIOD_2",4,"region_3","region_4",0.053832,TRUE,0.015464
"PERIOD_2",4,"region_3","region_5",0.00974,FALSE,0.015464
"PERIOD_2",4,"region_3","region_6",-0.039298,TRUE,0.015464
"PERIOD_2",4,"region_4","region_1",-0.054333,TRUE,0.015464
"PERIOD_2",4,"region_4","region_2",0.01406,FALSE,0.015464
"PERIOD_2",4,"region_4","region_3",0.053832,TRUE,0.015464
"PERIOD_2",4,"region_4","region_4",0.076518,TRUE,0.015464
"PERIOD_2",4,"region_4","region_5",0.016409,TRUE,0.015464
"PERIOD_2",4,"region_4","region_6",0.03044,TRUE,0.015464
"PERIOD_2",4,"region_5","region_1",-0.005443,FALSE,0.015464
"PERIOD_2",4,"region_5","region_2",0.024226,TRUE,0.015464
"PERIOD_2",4,"region_5","region_3",0.033146,TRUE,0.015464
"PERIOD_2",4,"region_5","region_4",0.011129,FALSE,0.015464
"PERIOD_2",4,"region_5","region_5",0.066493,TRUE,0.015464
"PERIOD_2",4,"region_5","region_6",-0.03118,TRUE,0.015464
"PERIOD_2",4,"region_6","region_1",-0.059673,TRUE,0.015464
"PERIOD_2",4,"region_6","region_2",0.039619,TRUE,0.015464
"PERIOD_2",4,"region_6","region_3",0.035356,TRUE,0.015464
"PERIOD_2",4,"region_6","region_4",0.044523,TRUE,0.015464
"PERIOD_2",4,"region_6","region_5",0.022563,TRUE,0.015464
"PERIOD_2",4,"region_6","region_6",-0.004312,FALSE,0.015464
"PERIOD_2",5,"region_1","region_1",-0.027948,TRUE,0.015464
"PERIOD_2",5,"region_1","region_2",0.10883,TRUE,0.015464
"PERIOD_2",5,"region_1","region_3",0.002112,FALSE,0.015464
"PERIOD_2",5,"region_1","region_4",0.001284,FALSE,0.015464
"PERIOD_2",5,"region_1","region_5",0.017209,TRUE,0.015464
"PERIOD_2",5,"region_1","region_6",-0.047763,TRUE,0.015464
"PERIOD_2",5,"region_2","region_1",-0.039521,TRUE,0.015464
"PERIOD_2",5,"region_2","region_2",0.08321,TRUE,0.015464
"PERIOD_2",5,"region_2","region_3",-0.009192,FALSE,0.015464
"PERIOD_2",5,"region_2","region_4",-0.012093,FALSE,0.015464
"PERIOD_2",5,"region_2","region_5",-0.008922,FALSE,0.015464
"PERIOD_2",5,"region_2","region_6",0.035661,TRUE,0.015464
"PERIOD_2",5,"region_3","region_1",-0.076998,TRUE,0.015464
"PERIOD_2",5,"region_3","region_2",0.082057,TRUE,0.015464
"PERIOD_2",5,"region_3","region_3",-0.001023,FALSE,0.015464
"PERIOD_2",5,"region_3","region_4",0.011458,FALSE,0.015464
"PERIOD_2",5,"region_3","region_5",-0.00751,FALSE,0.015464
"PERIOD_2",5,"region_3","region_6",0.023493,TRUE,0.015464
"PERIOD_2",5,"region_4","region_1",-0.081804,TRUE,0.015464
"PERIOD_2",5,"region_4","region_2",0.069761,TRUE,0.015464
"PERIOD_2",5,"region_4","region_3",0.001315,FALSE,0.015464
"PERIOD_2",5,"region_4","region_4",0.035592,TRUE,0.015464
"PERIOD_2",5,"region_4","region_5",-0.019961,TRUE,0.015464
"PERIOD_2",5,"region_4","region_6",0.052166,TRUE,0.015464
"PERIOD_2",5,"region_5","region_1",-0.058019,TRUE,0.015464
"PERIOD_2",5,"region_5","region_2",0.061054,TRUE,0.015464
"PERIOD_2",5,"region_5","region_3",0.029374,TRUE,0.015464
"PERIOD_2",5,"region_5","region_4",0.004403,FALSE,0.015464
"PERIOD_2",5,"region_5","region_5",0.026852,TRUE,0.015464
"PERIOD_2",5,"region_5","region_6",0.00761,FALSE,0.015464
"PERIOD_2",5,"region_6","region_1",-0.082159,TRUE,0.015464
"PERIOD_2",5,"region_6","region_2",0.080254,TRUE,0.015464
"PERIOD_2",5,"region_6","region_3",-0.016904,TRUE,0.015464
"PERIOD_2",5,"region_6","region_4",0.007011,FALSE,0.015464
"PERIOD_2",5,"region_6","region_5",-0.023875,TRUE,0.015464
"PERIOD_2",5,"region_6","region_6",0.038623,TRUE,0.015464
"PERIOD_2",6,"region_1","region_1",0.010785,FALSE,0.015464
"PERIOD_2",6,"region_1","region_2",0.099849,TRUE,0.015464
"PERIOD_2",6,"region_1","region_3",0.012363,FALSE,0.015464
"PERIOD_2",6,"region_1","region_4",0.029802,TRUE,0.015464
"PERIOD_2",6,"region_1","region_5",0.017382,TRUE,0.015464
"PERIOD_2",6,"region_1","region_6",-0.096532,TRUE,0.015464
"PERIOD_2",6,"region_2","region_1",0.010458,FALSE,0.015464
"PERIOD_2",6,"region_2","region_2",0.071817,TRUE,0.015464
"PERIOD_2",6,"region_2","region_3",0.02261,TRUE,0.015464
"PERIOD_2",6,"region_2","region_4",0.01875,TRUE,0.015464
"PERIOD_2",6,"region_2","region_5",0.047222,TRUE,0.015464
"PERIOD_2",6,"region_2","region_6",-0.102217,TRUE,0.015464
"PERIOD_2",6,"region_3","region_1",-0.022989,TRUE,0.015464
"PERIOD_2",6,"region_3","region_2",0.098964,TRUE,0.015464
"PERIOD_2",6,"region_3","region_3",0.007376,FALSE,0.015464
"PERIOD_2",6,"region_3","region_4",0.022983,TRUE,0.015464
"PERIOD_2",6,"region_3","region_5",0.021368,TRUE,0.015464
"PERIOD_2",6,"region_3","region_6",-0.099892,TRUE,0.015464
"PERIOD_2",6,"region_4","region_1",0.008824,FALSE,0.015464
"PERIOD_2",6,"region_4","region_2",0.03744,TRUE,0.015464
"PERIOD_2",6,"region_4","region_3",0.04814,TRUE,0.015464
"PERIOD_2",6,"region_4","region_4",0.033416,TRUE,0.015464
"PERIOD_2",6,"region_4","region_5",0.021335,TRUE,0.015464
