"Periode","Effect","Cause","p_star"
"PERIOD_1","region_1","region_2",10
"PERIOD_1","region_1","region_3",10
"PERIOD_1","region_1","region_4",10
"PERIOD_1","region_1","region_5",10
"PERIOD_1","region_1","region_6",10
"PERIOD_1","region_2","region_1",10
"PERIOD_1","region_2","region_3",10
"PERIOD_1","region_2","region_4",10
"PERIOD_1","region_2","region_5",10
"PERIOD_1","region_2","region_6",10
"PERIOD_1","region_3","region_1",10
"PERIOD_1","region_3","region_2",10
"PERIOD_1","region_3","region_4",10
"PERIOD_1","region_3","region_5",10
"PERIOD_1","region_3","region_6",10
"PERIOD_1","region_4","region_1",10
"PERIOD_1","region_4","region_2",10
"PERIOD_1","region_4","region_3",10
"PERIOD_1","region_4","region_5",10
"PERIOD_1","region_4","region_6",10
"PERIOD_1","region_5","region_1",10
"PERIOD_1","region_5","region_2",10
"PERIOD_1","region_5","region_3",10
"PERIOD_1","region_5","region_4",10
"PERIOD_1","region_5","region_6",10
"PERIOD_1","region_6","region_1",10
"PERIOD_1","region_6","region_2",10
"PERIOD_1","region_6","region_3",10
"PERIOD_1","region_6","region_4",10
"PERIOD_1","region_6","region_5",10
"PERIOD_2","region_1","region_2",10
"PERIOD_2","region_1","region_3",10
"PERIOD_2","region_1","region_4",10
"PERIOD_2","region_1","region_5",10
"PERIOD_2","region_1","region_6",10
"PERIOD_2","region_2","region_1",10
"PERIOD_2","region_2","region_3",10
"PERIOD_2","region_2","region_4",10
"PERIOD_2","region_2","region_5",10
"PERIOD_2","region_2","region_6",10
"PERIOD_2","region_3","region_1",10
"PERIOD_2","region_3","region_2",10
"PERIOD_2","region_3","region_4",10
"PERIOD_2","region_3","region_5",10
"PERIOD_2","region_3","region_6",10
"PERIOD_2","region_4","region_1",10
"PERIOD_2","region_4","region_2",10
"PERIOD_2","region_4","region_3",10
"PERIOD_2","region_4","region_5",10
"PERIOD_2","region_4","region_6",10
"PERIOD_2","region_5","region_1",10
"PERIOD_2","region_5","region_2",10
"PERIOD_2","region_5","region_3",10
"PERIOD_2","region_5","region_4",10
"PERIOD_2","region_5","region_6",10
"PERIOD_2","region_6","region_1",10
"PERIOD_2","region_6","region_2",10
"PERIOD_2","region_6","region_3",10
"PERIOD_2","region_6","region_4",10
"PERIOD_2","region_6","region_5",10
"PERIOD_3","region_1","region_2",10
"PERIOD_3","region_1","region_3",10
"PERIOD_3","region_1","region_4",10
"PERIOD_3","region_1","region_5",10
"PERIOD_3","region_1","region_6",10
"PERIOD_3","region_2","region_1",10
"PERIOD_3","region_2","region_3",10
"PERIOD_3","region_2","region_4",10
"PERIOD_3","region_2","region_5",10
"PERIOD_3","region_2","region_6",10
"PERIOD_3","region_3","region_1",10
"PERIOD_3","region_3","region_2",10
"PERIOD_3","region_3","region_4",10
"PERIOD_3","region_3","region_5",10
"PERIOD_3","region_3","region_6",10
"PERIOD_3","region_4","region_1",10
"PERIOD_3","region_4","region_2",10
"PERIOD_3","region_4","region_3",10
"PERIOD_3","region_4","region_5",10
"PERIOD_3","region_4","region_6",10
"PERIOD_3","region_5","region_1",10
"PERIOD_3","region_5","region_2",10
"PERIOD_3","region_5","region_3",10
"PERIOD_3","region_5","region_4",10
"PERIOD_3","region_5","region_6",10
"PERIOD_3","region_6","region_1",10
"PERIOD_3","region_6","region_2",10
"PERIOD_3","region_6","region_3",10
"PERIOD_3","region_6","region_4",10
"PERIOD_3","region_6","region_5",10
